,Ranking,School_Name,Tot_Vacancy,perc_balance_vacancy,Latitude,Longitude
137,138, Telok Kurau Primary School ,75,68.8,1.3310458544135,103.91093401133699
138,139, Qihua Primary School ,74,69.2,1.44203596612333,103.788339756898
139,140, Yumin Primary School ,73,51.3,1.35129177656982,103.950461927088
140,141, Peiying Primary School ,70,66.7,1.41723339695906,103.83041709069799
141,142, Chij Our Lady Queen Of Peace ,69,61.7,1.3666036685610101,103.767412204602
142,143, Cantonment Primary School ,69,67.1,1.27547252623205,103.83996263174801
143,144, Chij Our Lady Of Good Counsel ,68,54.7,1.3574295229698998,103.86400939737301
144,145, Si Ling Primary School ,68,67.6,1.4324093573252699,103.786035065192
145,146, Boon Lay Garden Primary School ,68,71.7,1.34317853793319,103.713280889452
146,147, St. Gabriel’s Primary School ,67,55.3,1.34947192653863,103.86256103770701
147,148, North Spring Primary School ,67,75.2,1.3870614649486297,103.903202683028
148,149, Pioneer Primary School ,66,63.3,1.34883617453429,103.695003812477
149,150, Changkat Primary School ,65,63.9,1.34023163951634,103.952080114035
150,151, Northoaks Primary School ,65,72.9,1.45660782030105,103.814196981329
151,152, New Town Primary School ,64,73.3,1.29964181064172,103.800102318609
152,153, Ahmad Ibrahim Primary School ,63,70.0,1.4331527154352,103.832942401086
153,154, Tampines North Primary School ,63,70.0,1.36047641484685,103.94872578283301
154,155, Bukit View Primary School ,61,71.0,1.3458605484203703,103.753665986188
155,156, Cedar Primary School ,59,67.2,1.3355884256117099,103.875620790518
156,157, Mayflower Primary School ,59,67.2,1.37637683520311,103.843252803198
157,158, Dazhong Primary School ,57,72.9,1.3591797447277099,103.74847210784
158,159, Xinghua Primary School ,57,76.3,1.3579089360818601,103.890465047334
159,160, Yuhua Primary School ,55,73.8,1.3428023047503501,103.741105772644
160,161, Lianhua Primary School ,54,74.3,1.35424191127296,103.754165828711
161,162, Ang Mo Kio Primary School ,52,71.1,1.3693217658461,103.839630858752
162,163, Townsville Primary School ,52,75.2,1.36003263719251,103.853826048328
163,164, Teck Whye Primary School ,51,71.7,1.38364996834459,103.753291857016
164,165, Park View Primary School ,49,72.8,1.3773806985425099,103.93954169565399
165,166, Marsiling Primary School ,49,79.6,1.4338390403706003,103.773643013846
166,167, Meridian Primary School ,47,73.9,1.3755283165848797,103.934889078246
167,168, Bukit Timah Primary School ,46,78.1,1.33751860013149,103.767243310781
168,169, Eunos Primary School ,45,70.0,1.32447629876371,103.904541254016
169,170, Damai Primary School ,45,78.6,1.3354610680040802,103.921270169613
170,171, Yio Chu Kang Primary School ,42,80.0,1.3779326434527799,103.88564368217101
171,172, Farrer Park Primary School ,40,77.8,1.31236855965766,103.850766169884
172,173, Montfort Junior School ,39,67.5,1.3738244407598001,103.889307782925
173,174, Canossa Catholic Primary School ,39,67.5,1.32664424544841,103.882227964852
174,175, West View Primary School ,39,81.4,1.3836758200336101,103.760240434318
175,176, Kranji Primary School ,37,75.3,1.39356050497107,103.74736272093901
176,177, Zhonghua Primary School ,37,79.4,1.3602032970505,103.869762438084
177,178, Angsana Primary School ,35,83.3,1.34855974654082,103.95180810615601
178,179, Blangah Rise Primary School ,28,76.7,1.2761204786929299,103.808628536055
179,180, Stamford Primary School ,28,84.4,1.3034563846745,103.857453500579
180,181, Guangyang Primary School ,25,83.3,1.34569011530241,103.849453239895
181,182, Fern Green Primary School ,24,92.0,1.3972696605048098,103.880330305684
182,183, First Toa Payoh Primary School ,23,84.7,1.34032299527313,103.85552990727
183,184, Juying Primary School ,19,89.4,1.33902264667596,103.687769624799
